molecule,ppm,intensity
Phenylacetylglycine,7.3961643880817,0.9902984395031651
Phenylacetylglycine,7.34654969699372,1.0
Phenylacetylglycine,3.7393236508444,0.6882941397229954
Phenylacetylglycine,3.66682395464204,0.9127593308845383
Phenylglyoxylic acid,7.97151400446935,0.923931583327863
Phenylglyoxylic acid,7.75255979990025,0.4550011460367892
Phenylglyoxylic acid,7.60115919189135,1.0
Phenyllactic acid,7.361166241259,0.7593489502053805
Phenyllactic acid,7.30748590299017,1.0
R-Lipoic acid,3.58741322364234,0.39082154927303614
R-Lipoic acid,3.19525862855278,0.3418782467704562
R-Lipoic acid,3.13722267773887,0.3860692187703608
R-Lipoic acid,2.4796039543207,0.32247568020190287
R-Lipoic acid,2.39081078036252,1.0
R-Lipoic acid,1.93164937770863,0.3011661365718406
R-Lipoic acid,1.70518101443795,0.9973417019299314
R-Lipoic acid,1.51441299945975,0.3645002180485155
Ribitol,3.84315694709806,0.4360403620233905
Ribitol,3.81485226151258,1.0
Ribitol,3.78847015834423,0.7567350520887081
Ribitol,3.69009802466792,0.3146334565042013
Ribitol,3.65036465471397,0.6810212878088967
Ribitol,3.62462341235133,0.5972380514507136
Salicylic acid,7.83145260735701,0.8642137098177822
Salicylic acid,7.47206873415476,0.6416986624278813
Salicylic acid,6.9609124560189,1.0
Shikimic acid,8.68276210066375,0.4977791677080568
Shikimic acid,7.46623024927806,1.0
Shikimic acid,6.61932635996124,0.5730899075941531
Shikimic acid,4.00025869014577,0.499274851259004
Shikimic acid,3.74468631023089,0.5250186634767905
Shikimic acid,2.74912570709538,0.35574819220989606
Shikimic acid,2.20832283441015,0.46801514059261135
Shikimic acid,2.06772141050282,0.72277246740273
Sinigrin,5.84956834274767,0.5634358811818309
Sinigrin,4.3736398229094,0.36536716622846344
Sinigrin,4.11665009800487,0.3387957034333865
Sinigrin,4.05192201267978,0.46372456288543024
Sinigrin,3.97394923662812,0.3978561907120659
Sinigrin,3.75156660684788,1.0
Sinigrin,3.45057032888405,0.3543936899496098
Sinigrin,2.57919785350117,0.25618181564713605
Sinigrin,2.2991367318471,0.25917234252986854
Sorbitol,4.40346651714194,0.3374001870484924
Sorbitol,3.83524415251522,1.0
Sorbitol,3.72288138417174,0.5818796235201819
Sorbitol,3.63722079461711,0.43982702351416686
Sucrose,3.80936177131725,1.0
Sucrose,3.75833613067586,0.31366492048795663
Sucrose,3.66727780608422,0.5307685751543746
Sulcatone,2.42559627749224,0.4215430878084716
Sulcatone,2.14998448320728,0.53984559437558
Sulcatone,2.0659564971448,1.0
Sulcatone,1.63114986381054,0.8006203039589912
Sulcatone,1.56759415071601,0.5549637462260967
Threonine,3.57373496592016,0.4254537987789413
Threonine,1.31458658714703,1.0
Valine,3.6009509339598,0.5426783508720449
Valine,1.02772802610285,1.0
Valine,0.980459139650222,0.9876874638488555
