ppm,intensity
8.150452846413343,4066944.0
8.15026976740261,4066944.0
8.150086688391879,5083680.0
8.149903609381147,8133888.0
8.149720530370415,1.016736E7
8.14953745135968,1.016736E7
8.149354372348949,1.1184096E7
8.149171293338217,1.2200832E7
8.148988214327485,1.2200832E7
8.148805135316753,1.3217568E7
8.14862205630602,1.3217568E7
8.148438977295289,1.1184096E7
8.148255898284557,7117152.0
8.148072819273823,4066944.0
8.147889740263091,5083680.0
8.147706661252359,6100416.0
8.147523582241627,6100416.0
8.147340503230895,5083680.0
8.147157424220163,3050208.0
8.146974345209431,1016736.0
8.146791266198699,2033472.0
8.146608187187967,5083680.0
8.146425108177233,8133888.0
8.146242029166501,8133888.0
8.14605895015577,9150624.0
8.145875871145037,9150624.0
8.145692792134305,8133888.0
8.145509713123573,5083680.0
8.145326634112841,4066944.0
8.14514355510211,1016736.0
8.144960476091375,-4066944.0
8.144777397080643,-6100416.0
8.144594318069911,-7117152.0
8.14441123905918,-8133888.0
8.144228160048447,-5083680.0
8.144045081037715,-2033472.0
8.143862002026983,1016736.0
8.143678923016251,3050208.0
8.14349584400552,3050208.0
8.143312764994786,1016736.0
8.143129685984054,-1016736.0
8.142946606973322,-1016736.0
8.14276352796259,-2033472.0
8.142580448951858,-2033472.0
8.142397369941126,-2033472.0
8.142214290930394,-5083680.0
8.142031211919662,-6100416.0
8.141848132908928,-6100416.0
8.141665053898196,-7117152.0
8.141481974887464,-1.016736E7
8.141298895876732,-9150624.0
8.141115816866,-8133888.0
8.140932737855268,-9150624.0
8.140749658844536,-9150624.0
8.140566579833804,-9150624.0
8.140383500823072,-7117152.0
8.140200421812338,-4066944.0
8.140017342801606,-3050208.0
8.139834263790874,-6100416.0
8.139651184780142,-9150624.0
8.13946810576941,-1.016736E7
8.139285026758678,-9150624.0
8.139101947747946,-7117152.0
8.138918868737214,-5083680.0
8.13873578972648,-4066944.0
8.138552710715748,-4066944.0
8.138369631705016,-5083680.0
8.138186552694284,-7117152.0
8.138003473683552,-7117152.0
8.13782039467282,-6100416.0
8.137637315662088,-4066944.0
8.137454236651356,-4066944.0
8.137271157640624,-5083680.0
8.13708807862989,-5083680.0
8.136904999619158,-4066944.0
8.136721920608426,-2033472.0
8.136538841597694,0.0
8.136355762586962,2033472.0
8.13617268357623,3050208.0
8.135989604565498,3050208.0
8.135806525554766,1016736.0
8.135623446544033,0.0
8.1354403675333,1016736.0
8.135257288522569,3050208.0
8.135074209511837,2033472.0
8.134891130501105,2033472.0
8.134708051490373,4066944.0
8.13452497247964,7117152.0
8.134341893468909,7117152.0
8.134158814458177,6100416.0
8.133975735447443,6100416.0
8.133792656436711,8133888.0
8.133609577425979,1.016736E7
8.133426498415247,8133888.0
8.133243419404515,4066944.0
8.133060340393783,4066944.0
8.132877261383051,8133888.0
8.132694182372319,1.016736E7
8.132511103361585,1.016736E7
8.132328024350853,1.016736E7
8.132144945340121,9150624.0
8.131961866329389,8133888.0
8.131778787318657,7117152.0
8.131595708307925,4066944.0
8.131412629297193,3050208.0
8.131229550286461,5083680.0
8.131046471275729,5083680.0
8.130863392264995,5083680.0
8.130680313254263,6100416.0
8.130497234243531,6100416.0
8.1303141552328,4066944.0
8.130131076222067,2033472.0
8.129947997211335,0.0
8.129764918200603,-1016736.0
8.129581839189871,0.0
8.129398760179138,1016736.0
8.129215681168406,2033472.0
8.129032602157674,2033472.0
8.128849523146942,0.0
8.12866644413621,-2033472.0
8.128483365125478,-3050208.0
8.128300286114746,-3050208.0
8.128117207104014,-5083680.0
8.127934128093282,-8133888.0
8.127751049082548,-8133888.0
8.127567970071816,-8133888.0
8.127384891061084,-7117152.0
8.127201812050352,-4066944.0
8.12701873303962,-3050208.0
8.126835654028888,-6100416.0
8.126652575018156,-8133888.0
8.126469496007424,-9150624.0
8.12628641699669,-1.016736E7
8.126103337985958,-7117152.0
8.125920258975226,-1016736.0
8.125737179964494,3050208.0
8.125554100953762,3050208.0
8.12537102194303,2033472.0
8.125187942932298,-1016736.0
8.125004863921566,-2033472.0
8.124821784910834,1016736.0
8.1246387059001,2033472.0
8.124455626889368,2033472.0
8.124272547878636,-1016736.0
8.124089468867904,-4066944.0
8.123906389857172,-4066944.0
8.12372331084644,-4066944.0
8.123540231835708,-6100416.0
8.123357152824976,-1.016736E7
8.123174073814244,-1.2200832E7
8.12299099480351,-1.2200832E7
8.122807915792778,-9150624.0
8.122624836782046,-9150624.0
8.122441757771314,-1.016736E7
8.122258678760582,-9150624.0
8.12207559974985,-5083680.0
8.121892520739118,-5083680.0
8.121709441728386,-4066944.0
8.121526362717653,-1016736.0
8.12134328370692,-1016736.0
8.121160204696189,-4066944.0
8.120977125685457,-9150624.0
8.120794046674725,-1.2200832E7
8.120610967663993,-1.1184096E7
8.12042788865326,-7117152.0
8.120244809642529,-3050208.0
8.120061730631797,-2033472.0
8.119878651621063,-3050208.0
8.11969557261033,-1016736.0
8.119512493599599,1016736.0
8.119329414588867,1016736.0
8.119146335578135,1016736.0
8.118963256567403,3050208.0
8.11878017755667,2033472.0
8.118597098545939,0.0
8.118414019535205,0.0
8.118230940524473,2033472.0
8.118047861513741,4066944.0
8.117864782503009,5083680.0
8.117681703492277,5083680.0
8.117498624481545,7117152.0
8.117315545470813,8133888.0
8.117132466460081,4066944.0
8.116949387449349,3050208.0
8.116766308438615,6100416.0
8.116583229427883,8133888.0
8.116400150417151,5083680.0
8.11621707140642,4066944.0
8.116033992395687,7117152.0
8.115850913384955,1.3217568E7
8.115667834374223,1.7284528E7
8.115484755363491,1.7284528E7
8.115301676352757,1.4234304E7
8.115118597342025,1.3217568E7
8.114935518331293,1.3217568E7
8.114752439320561,1.3217568E7
8.11456936030983,1.1184096E7
8.114386281299097,8133888.0
8.114203202288365,5083680.0
8.114020123277633,6100416.0
8.113837044266901,7117152.0
8.113653965256168,7117152.0
8.113470886245436,4066944.0
8.113287807234704,1016736.0
8.113104728223972,0.0
8.11292164921324,0.0
8.112738570202508,0.0
8.112555491191776,1016736.0
8.112372412181044,3050208.0
8.11218933317031,1016736.0
8.112006254159578,-3050208.0
8.111823175148846,-5083680.0
8.111640096138114,-4066944.0
8.111457017127382,-5083680.0
8.11127393811665,-6100416.0
8.111090859105918,-5083680.0
8.110907780095186,-4066944.0
8.110724701084454,-3050208.0
8.11054162207372,-3050208.0
8.110358543062988,-5083680.0
8.110175464052256,-4066944.0
8.109992385041524,0.0
8.109809306030792,3050208.0
8.10962622702006,2033472.0
8.109443148009328,0.0
8.109260068998596,-1016736.0
8.109076989987862,-1016736.0
8.10889391097713,0.0
8.108710831966398,-1016736.0
8.108527752955666,-2033472.0
8.108344673944934,-4066944.0
8.108161594934202,-8133888.0
8.10797851592347,-1.1184096E7
8.107795436912738,-1.3217568E7
8.107612357902006,-1.4234304E7
8.107429278891273,-1.6267776E7
8.10724619988054,-1.7284528E7
8.107063120869809,-1.8301264E7
8.106880041859077,-1.9318E7
8.106696962848345,-2.0334736E7
8.106513883837613,-2.3384944E7
8.10633080482688,-2.5418416E7
8.106147725816149,-2.440168E7
8.105964646805415,-2.2368208E7
8.105781567794683,-2.1351472E7
8.10559848878395,-2.0334736E7
8.105415409773219,-1.8301264E7
8.105232330762487,-1.7284528E7
8.105049251751755,-1.6267776E7
8.104866172741023,-1.525104E7
8.10468309373029,-1.3217568E7
8.104500014719559,-1.525104E7
8.104316935708825,-1.6267776E7
8.104133856698093,-1.2200832E7
8.103950777687361,-6100416.0
8.103767698676629,-4066944.0
8.103584619665897,-4066944.0
8.103401540655165,-6100416.0
8.103218461644433,-6100416.0
8.103035382633701,-5083680.0
8.102852303622967,-5083680.0
8.102669224612235,-7117152.0
8.102486145601503,-9150624.0
8.102303066590771,-1.2200832E7
8.10211998758004,-1.4234304E7
8.101936908569307,-1.3217568E7
8.101753829558575,-1.3217568E7
8.101570750547843,-1.4234304E7
8.101387671537111,-1.3217568E7
8.101204592526377,-9150624.0
8.101021513515645,-3050208.0
8.100838434504913,1016736.0
8.100655355494181,0.0
8.10047227648345,2033472.0
8.100289197472717,5083680.0
8.100106118461985,4066944.0
8.099923039451253,1016736.0
8.09973996044052,0.0
8.099556881429788,0.0
8.099373802419056,-1016736.0
8.099190723408324,-1016736.0
8.099007644397592,-2033472.0
8.09882456538686,-1016736.0
8.098641486376128,0.0
8.098458407365396,-2033472.0
8.098275328354664,-1016736.0
8.09809224934393,3050208.0
8.097909170333198,2033472.0
8.097726091322466,1016736.0
8.097543012311734,0.0
8.097359933301002,-1016736.0
8.09717685429027,-2033472.0
8.096993775279538,-3050208.0
8.096810696268806,-3050208.0
8.096627617258072,-6100416.0
8.09644453824734,-1.1184096E7
8.096261459236608,-1.525104E7
8.096078380225876,-1.4234304E7
8.095895301215144,-1.2200832E7
8.095712222204412,-1.1184096E7
8.09552914319368,-1.016736E7
8.095346064182948,-9150624.0
8.095162985172216,-1.016736E7
8.094979906161482,-1.1184096E7
8.09479682715075,-1.2200832E7
8.094613748140018,-1.1184096E7
8.094430669129286,-1.1184096E7
8.094247590118554,-1.1184096E7
8.094064511107822,-7117152.0
8.09388143209709,-3050208.0
8.093698353086358,-3050208.0
8.093515274075624,-1016736.0
8.093332195064892,2033472.0
8.09314911605416,3050208.0
8.092966037043428,4066944.0
8.092782958032696,5083680.0
8.092599879021964,4066944.0
8.092416800011232,5083680.0
8.0922337210005,4066944.0
8.092050641989768,2033472.0
8.091867562979035,0.0
8.091684483968303,0.0
8.09150140495757,2033472.0
8.091318325946839,6100416.0
8.091135246936107,1.016736E7
8.090952167925375,1.1184096E7
8.090769088914643,1.3217568E7
8.09058600990391,1.525104E7
8.090402930893177,1.6267776E7
8.090219851882445,1.525104E7
8.090036772871713,1.525104E7
8.08985369386098,1.525104E7
8.089670614850249,1.6267776E7
8.089487535839517,1.1184096E7
8.089304456828785,4066944.0
8.089121377818053,4066944.0
8.08893829880732,7117152.0
8.088755219796587,1.016736E7
8.088572140785855,1.3217568E7
8.088389061775123,1.525104E7
8.088205982764391,1.6267776E7
8.088022903753659,1.6267776E7
8.087839824742927,1.525104E7
8.087656745732195,1.2200832E7
8.087473666721463,1.2200832E7
8.08729058771073,1.4234304E7
8.087107508699997,1.3217568E7
8.086924429689265,1.2200832E7
8.086741350678533,1.016736E7
8.086558271667801,1.016736E7
8.08637519265707,9150624.0
8.086192113646337,3050208.0
8.086009034635605,-6100416.0
8.085825955624873,-7117152.0
8.08564287661414,-5083680.0
8.085459797603407,-4066944.0
8.085276718592675,-3050208.0
8.085093639581943,-3050208.0
8.084910560571211,-8133888.0
8.08472748156048,-1.3217568E7
8.084544402549747,-1.3217568E7
8.084361323539015,-1.016736E7
8.084178244528282,-8133888.0
8.08399516551755,-8133888.0
8.083812086506818,-7117152.0
8.083629007496086,-7117152.0
8.083445928485354,-6100416.0
8.083262849474622,-1016736.0
8.08307977046389,4066944.0
8.082896691453158,4066944.0
8.082713612442426,3050208.0
8.082530533431692,3050208.0
8.08234745442096,4066944.0
8.082164375410228,7117152.0
8.081981296399496,9150624.0
8.081798217388764,9150624.0
8.081615138378032,6100416.0
8.0814320593673,4066944.0
8.081248980356568,2033472.0
8.081065901345834,1016736.0
8.080882822335102,2033472.0
8.08069974332437,2033472.0
8.080516664313638,0.0
8.080333585302906,-3050208.0
8.080150506292174,-3050208.0
8.079967427281442,0.0
8.07978434827071,5083680.0
8.079601269259978,9150624.0
8.079418190249244,1.1184096E7
8.079235111238512,1.1184096E7
8.07905203222778,1.016736E7
8.078868953217048,9150624.0
8.078685874206316,6100416.0
8.078502795195584,4066944.0
8.078319716184852,6100416.0
8.07813663717412,5083680.0
8.077953558163387,3050208.0
8.077770479152655,4066944.0
8.077587400141923,2033472.0
8.07740432113119,0.0
8.077221242120459,1016736.0
8.077038163109727,2033472.0
8.076855084098995,2033472.0
8.076672005088263,2033472.0
8.07648892607753,1016736.0
8.076305847066797,0.0
8.076122768056065,0.0
8.075939689045333,2033472.0
8.0757566100346,4066944.0
8.075573531023869,4066944.0
8.075390452013137,3050208.0
8.075207373002405,4066944.0
8.075024293991673,3050208.0
8.074841214980939,2033472.0
8.074658135970207,2033472.0
8.074475056959475,3050208.0
8.074291977948743,4066944.0
8.074108898938011,5083680.0
8.073925819927279,6100416.0
8.073742740916547,5083680.0
8.073559661905815,4066944.0
8.073376582895083,5083680.0
8.07319350388435,3050208.0
8.073010424873617,-1016736.0
8.072827345862885,1016736.0
8.072644266852153,5083680.0
8.072461187841421,7117152.0
8.07227810883069,9150624.0
8.072095029819957,1.1184096E7
8.071911950809225,8133888.0
8.071728871798491,4066944.0
8.07154579278776,3050208.0
8.071362713777027,6100416.0
8.071179634766295,8133888.0
8.070996555755563,8133888.0
8.070813476744831,6100416.0
8.0706303977341,6100416.0
8.070447318723367,5083680.0
8.070264239712635,3050208.0
8.070081160701902,1016736.0
8.06989808169117,3050208.0
8.069715002680438,5083680.0
8.069531923669706,8133888.0
8.069348844658974,8133888.0
8.069165765648242,7117152.0
8.06898268663751,8133888.0
8.068799607626778,1.016736E7
8.068616528616044,9150624.0
8.068433449605312,5083680.0
8.06825037059458,2033472.0
8.068067291583848,2033472.0
8.067884212573116,4066944.0
8.067701133562384,7117152.0
8.067518054551652,5083680.0
8.06733497554092,1016736.0
8.067151896530188,-1016736.0
8.066968817519454,1016736.0
8.066785738508722,5083680.0
8.06660265949799,4066944.0
8.066419580487258,1016736.0
8.066236501476526,0.0
8.066053422465794,1016736.0
8.065870343455062,-1016736.0
8.06568726444433,-2033472.0
8.065504185433598,-1016736.0
8.065321106422864,0.0
8.065138027412132,-3050208.0
8.0649549484014,-7117152.0
8.064771869390668,-6100416.0
8.064588790379936,-3050208.0
8.064405711369204,-4066944.0
8.064222632358472,-6100416.0
8.06403955334774,-8133888.0
8.063856474337006,-9150624.0
8.063673395326274,-8133888.0
8.063490316315542,-5083680.0
8.06330723730481,-2033472.0
8.063124158294078,0.0
8.062941079283346,0.0
8.062758000272614,1016736.0
8.062574921261882,1016736.0
8.06239184225115,-1016736.0
8.062208763240417,-2033472.0
8.062025684229685,0.0
8.061842605218953,1016736.0
8.06165952620822,-2033472.0
8.061476447197489,-4066944.0
8.061293368186757,-6100416.0
8.061110289176025,-6100416.0
8.060927210165293,-3050208.0
8.060744131154559,0.0
8.060561052143827,1016736.0
8.060377973133095,0.0
8.060194894122363,0.0
8.060011815111631,-1016736.0
8.059828736100899,-4066944.0
8.059645657090167,-3050208.0
8.059462578079435,2033472.0
8.059279499068703,6100416.0
8.05909642005797,6100416.0
8.058913341047237,5083680.0
8.058730262036505,4066944.0
8.058547183025773,3050208.0
8.058364104015041,2033472.0
8.058181025004309,2033472.0
8.057997945993577,4066944.0
8.057814866982845,4066944.0
8.057631787972111,1016736.0
8.05744870896138,2033472.0
8.057265629950647,7117152.0
8.057082550939915,1.016736E7
8.056899471929183,1.4234304E7
8.056716392918451,1.7284528E7
8.05653331390772,1.525104E7
8.056350234896987,1.3217568E7
8.056167155886255,1.6267776E7
8.055984076875522,1.9318E7
8.05580099786479,2.0334736E7
8.055617918854058,2.0334736E7
8.055434839843326,2.1351472E7
8.055251760832594,2.1351472E7
8.055068681821862,1.8301264E7
8.05488560281113,1.525104E7
8.054702523800398,1.1184096E7
8.054519444789664,7117152.0
8.054336365778932,3050208.0
8.0541532867682,3050208.0
8.053970207757468,4066944.0
8.053787128746736,7117152.0
8.053604049736004,1.016736E7
8.053420970725272,1.016736E7
8.05323789171454,1.016736E7
8.053054812703808,1.1184096E7
8.052871733693074,1.1184096E7
8.052688654682342,8133888.0
8.05250557567161,7117152.0
8.052322496660878,8133888.0
8.052139417650146,9150624.0
8.051956338639414,9150624.0
8.051773259628682,4066944.0
8.05159018061795,-1016736.0
8.051407101607216,-3050208.0
8.051224022596484,-2033472.0
8.051040943585752,0.0
8.05085786457502,-1016736.0
8.050674785564288,-2033472.0
8.050491706553556,-2033472.0
8.050308627542824,-3050208.0
8.050125548532092,0.0
8.04994246952136,4066944.0
8.049759390510626,8133888.0
8.049576311499894,1.016736E7
8.049393232489162,1.016736E7
8.04921015347843,8133888.0
8.049027074467698,7117152.0
8.048843995456966,6100416.0
8.048660916446234,4066944.0
8.048477837435502,3050208.0
8.048294758424769,1016736.0
8.048111679414037,0.0
8.047928600403305,-1016736.0
8.047745521392573,-1016736.0
8.04756244238184,0.0
8.047379363371109,2033472.0
8.047196284360377,2033472.0
8.047013205349645,1016736.0
8.046830126338913,-2033472.0
8.046647047328179,-4066944.0
8.046463968317447,-2033472.0
8.046280889306715,-1016736.0
8.046097810295983,0.0
8.04591473128525,2033472.0
8.045731652274519,5083680.0
8.045548573263787,9150624.0
8.045365494253055,1.1184096E7
8.045182415242321,9150624.0
8.044999336231589,4066944.0
8.044816257220857,-1016736.0
8.044633178210125,-4066944.0
8.044450099199393,-6100416.0
8.044267020188661,-7117152.0
8.044083941177929,-7117152.0
8.043900862167197,-5083680.0
8.043717783156465,-6100416.0
8.043534704145731,-1.016736E7
8.043351625135,-1.016736E7
8.043168546124267,-6100416.0
8.042985467113535,-2033472.0
8.042802388102803,0.0
8.042619309092071,1016736.0
8.04243623008134,3050208.0
8.042253151070607,6100416.0
8.042070072059873,6100416.0
8.041886993049141,5083680.0
8.04170391403841,5083680.0
8.041520835027677,5083680.0
8.041337756016945,5083680.0
8.041154677006213,6100416.0
8.040971597995481,6100416.0
8.04078851898475,9150624.0
8.040605439974017,1.3217568E7
8.040422360963284,1.2200832E7
8.040239281952552,1.016736E7
8.04005620294182,1.016736E7
8.039873123931088,1.2200832E7
8.039690044920356,1.525104E7
8.039506965909624,1.7284528E7
8.039323886898892,1.8301264E7
8.03914080788816,1.9318E7
8.038957728877426,2.1351472E7
8.038774649866694,2.0334736E7
8.038591570855962,1.6267776E7
8.03840849184523,1.4234304E7
8.038225412834498,1.2200832E7
8.038042333823766,9150624.0
8.037859254813034,7117152.0
8.037676175802302,7117152.0
8.03749309679157,6100416.0
8.037310017780836,7117152.0
8.037126938770104,1.016736E7
8.036943859759372,1.1184096E7
8.03676078074864,1.016736E7
8.036577701737908,1.016736E7
8.036394622727176,1.016736E7
8.036211543716444,1.2200832E7
8.036028464705712,1.2200832E7
8.035845385694978,1.3217568E7
8.035662306684246,1.4234304E7
8.035479227673514,1.525104E7
8.035296148662782,1.6267776E7
8.03511306965205,1.6267776E7
8.034929990641318,1.3217568E7
8.034746911630586,1.4234304E7
8.034563832619854,2.0334736E7
8.034380753609122,2.440168E7
8.034197674598389,2.1351472E7
8.034014595587657,1.6267776E7
8.033831516576925,1.3217568E7
8.033648437566193,1.1184096E7
8.03346535855546,9150624.0
8.033282279544729,8133888.0
8.033099200533997,7117152.0
8.032916121523265,6100416.0
8.03273304251253,6100416.0
8.032549963501799,5083680.0
8.032366884491067,2033472.0
8.032183805480335,1016736.0
8.032000726469603,2033472.0
8.03181764745887,1016736.0
8.031634568448139,-1016736.0
8.031451489437407,-2033472.0
8.031268410426675,-4066944.0
8.031085331415941,-6100416.0
