ppm,intensity
3.1804715991321983,0.0
3.1802882964172916,170.7734375
3.1801049937023844,341.55078125
3.1799216909874777,512.328125
3.179738388272571,341.55078125
3.1795550855576638,-170.7734375
3.179371782842757,-170.7734375
3.17918848012785,-170.7734375
3.179005177412943,-341.55078125
3.1788218746980363,-683.10546875
3.178638571983129,-341.55078125
3.1784552692682224,-170.7734375
3.1782719665533157,-170.7734375
3.1780886638384085,-170.7734375
3.1779053611235017,0.0
3.177722058408595,170.7734375
3.177538755693688,341.55078125
3.177355452978781,512.328125
3.177172150263874,512.328125
3.176988847548967,512.328125
3.1768055448340604,170.7734375
3.1766222421191532,170.7734375
3.1764389394042465,341.55078125
3.1762556366893397,341.55078125
3.1760723339744326,170.7734375
3.175889031259526,170.7734375
3.1757057285446186,512.328125
3.175522425829712,683.10546875
3.175339123114805,341.55078125
3.175155820399898,512.328125
3.1749725176849912,683.10546875
3.1747892149700845,683.10546875
3.1746059122551773,683.10546875
3.1744226095402706,512.328125
3.174239306825364,341.55078125
3.1740560041104566,170.7734375
3.17387270139555,0.0
3.1736893986806427,0.0
3.173506095965736,170.7734375
3.173322793250829,341.55078125
3.173139490535922,341.55078125
3.1729561878210153,512.328125
3.1727728851061086,512.328125
3.1725895823912014,512.328125
3.1724062796762946,341.55078125
3.172222976961388,0.0
3.1720396742464807,-170.7734375
3.171856371531574,-170.7734375
3.1716730688166668,0.0
3.17148976610176,0.0
3.1713064633868533,0.0
3.171123160671946,170.7734375
3.1709398579570394,0.0
3.1707565552421326,-170.7734375
3.1705732525272254,0.0
3.1703899498123187,0.0
3.170206647097412,170.7734375
3.1700233443825048,341.55078125
3.169840041667598,341.55078125
3.169656738952691,170.7734375
3.169473436237784,170.7734375
3.1692901335228774,0.0
3.16910683080797,-170.7734375
3.1689235280930634,-170.7734375
3.1687402253781567,-170.7734375
3.1685569226632495,0.0
3.1683736199483428,170.7734375
3.1681903172334356,341.55078125
3.168007014518529,170.7734375
3.167823711803622,0.0
3.167640409088715,-170.7734375
3.167457106373808,-170.7734375
3.1672738036589014,0.0
3.1670905009439942,0.0
